ean,codigo,descricao,quant. imagens,importado
7500435127271,591417,ABS.  ALWAYS BASICO SUAVE S/ABAS C/18,1,Sim
7506339394535,1496105,ABS. ALWAYS NOTURNO SECO C/ABAS,1,Sim
7506339394603,1496107,ABS. ALWAYS NOTURNO SUAVE C/ABAS,1,Sim
56360,483412,ABS ALWAYS SUAVE C/ ABAS 18X10,1,Sim
68416,1487892,ABS ALWAYS SUAVE C/ ABAS 24X10,1,Sim
7500435127226,1496109,ABSORV. ALWAYS BASICO SECO C/ABAS C/18,1,Sim
7500435127264,1296808,ABSORV. ALWAYS BASICO SECO S/ABAS C/18,1,Sim
7506339394788,1488800,ABSORV. ALWAYS BASICO SUAVE C/ABAS *,1,Sim
7506340000000,1488804,ABSORV. ALWAYS BASICO SUAVE C/ABAS *,1,Sim
7500435127240,1496112,ABSORV. ALWAYS BASICO SUAVE C/ABAS C/18,1,Sim
7896064445214,779574,ABSORV. DEFINITY C/ABAS,1,Sim
7896914000273,1030945,ABSORV. DIANA ACTIVE SUAVE S/ABAS *,1,Sim
7896007540662,431429,ABSORV. INTIMUS GEL NOTURNO  C/ABAS,13,Sim
7896007540617,1496115,ABSORV. INTIMUS GEL TRIP. C/ABAS C/12,1,Sim
7896007540600,1496117,ABSORV. INTIMUS GEL TRIP. S/ABAS C/12,1,Sim
7891010000000,1030926,ABSORV. SEMPRE LIVRE ADAPT C/ABAS,1,Sim
7891010973476,399680,ABSORV. SEMPRE LIVRE ADAPT C/ABAS,2,Sim
7891010503031,409877,ABSORV. SEMPRE LIVRE ADAPT S/ABAS ,26,Sim
7891010035631,418293,ABSORV. SEMPRE LIVRE NOTURNO C/ABAS C/8,25,Sim
7891010694593,1287350,ABSORV. SEMPRE LIVRE NOTURNO C/ABAS C/8,1,Sim
3086123646278,1488762,ACENDEDOR FOGAO BIC EZ REACH,1,Sim
7501843503855,1212417,ACENDEDOR FOGAO BIC EZ REACH,4,Sim
7897161360059,567910,ACETONA ALYNE 100ML,19,Sim
7896085391330,1311644,ACHOCOLATADO BOA VIDA 200ML,1,Sim
7896220000000,1488938,ACHOCOLATADO CHOCOLATTO REFIL 700G,1,Sim
7898080640239,1496126,ACHOCOLATADO ITALAC 200ML,1,Sim
7898215151807,484590,ACHOCOLATADO PIRAKIDS PRONTO 200ML ,12,Sim
7898302020306,1496129,ACIDO MURIATICO ALKINDA 1L,0,Sim
7898302020405,1496132,ACIDO MURIATICO C/AZEIA ALKINDA 1L,0,Sim
7896706200010,487458,ACIDO MURIATICO COMBATE 1L,2,Sim
7898110850409,1496135,ACIDO MURIATICO LIMPA FACIL 1L,1,Sim
17814,1275120,ACUCAR 50KG,1,Sim
14034,1293865,ACUCAR BRASIL 1KG,2,Sim
742832331975,1031277,ACUCAR BRASIL 1KG,0,Sim
7897261800011,1030271,ACUCAR CRISTAL CAETE 1KG,1,Sim
736532581419,1031010,ACUCAR CRISTAL PINDORAMA  1KG*,1,Sim
7891100000000,1488848,ADOCANTE ADOCYL 100ML,1,Sim
7891104393104,1496138,ADOCANTE ADOCYL 100ML,1,Sim
21745,1285237,ADUBO NPK 20 X 10 X 20 25K,1,Sim
7898632472714,1030303,AGUA MICELAR LABORAT 7EM1 250ML,1,Sim
7898994462613,1496140,AGUA MINERAL AZUL 500ML,1,Sim
19715,1487688,AGUA MINERAL AZUL/LIRIOS 20L,1,Sim
742832546720,1031051,AGUA MINERAL CAMPANAGUA 500ML***,0,Sim
7898914233040,1030174,AGUA MINERAL CLARA C/ GAS 500ML,0,Sim
7897344800105,1496142,"AGUA MINERAL NATURAGUA 1,5L",1,Sim
21759,1289957,AGUA MINERAL NATURAGUA 500ML,1,Sim
7897344800709,778135,AGUA MINERAL NATURAGUA 5L,1,Sim
1421,708633,AGUA MINERAL NATURAGUA 5L ,0,Sim
7897344800426,1496146,AGUA MINERAL NATURAGUA C/GAS 500ML,1,Sim
79895,1488025,AGUA MINERAL PREMIUM 6X500ML,1,Sim
79896,1488027,AGUA MINERAL PREMIUM C/GAS 6X500ML,1,Sim
7897161371000,544979,AGUA OXIGENADA ALYNE VOL 20**,13,Sim
7897161371017,1496149,AGUA OXIGENADA ALYNE VOL 30,1,Sim
789161371024,1496151,AGUA OXIGENADA ALYNE VOL 40,2,Sim
7896273010807,1488944,AGUA OXIGENADA MADREVITA VOL 30,0,Sim
4076619001017,1496178,AGUARD. ALKINDA MEIOTA OURO 480ML,0,Sim
4076621001012,1496180,AGUARD. ALKINDA MEIOTA PRATA 480ML,0,Sim
4076618001018,1496182,AGUARD. ALKINDA OURO 960ML,0,Sim
4076620001013,1496184,AGUARD. ALKINDA PRATA 960ML,0,Sim
7898996119201,1489129,AGUARD. CANINHA DAQUELA 480ML***,0,Sim
27932,1191718,AGUARD. CARANGUEJO 480ML,1,Sim
7896087201095,1496187,AGUARD. GOSTOSA OURO 480ML,1,Sim
7896087200586,1496189,AGUARD. GOSTOSA PRATA 480ML,1,Sim
178170,1488063,AGUARD. JURUBEBA 350ML,0,Sim
7897044800368,1489006,AGUARD. JURUBEBA COLEGUINHA 350ML,0,Sim
6819,1487615,AGUARD. JURUBEBA NORDESTINA 900ML,0,Sim
80876,1488039,AGUARD. QUINTA REAL OURO 480ML,0,Sim
7896619000035,417738,AGUARD. SAPUPARA MEIOTA OURO 500ML,4,Sim
7896619000042,417741,AGUARD. SAPUPARA MEIOTA PRATA 500ML,4,Sim
7896619000011,417737,AGUARD. SAPUPARA OURO 1L,6,Sim
7896619000028,417739,AGUARD. SAPUPARA PRATA 1L,5,Sim
7898925385165,1496195,AGUARD. VALE REAL OURO 480ML,0,Sim
7898925385158,771478,AGUARD. VALE REAL PRATA 480ML,3,Sim
7896383700100,417743,AGUARD. YPIOCA 150 ANOS  700ML,2,Sim
7896383700032,447477,AGUARD. YPIOCA EMPALHADA OURO 1L,1,Sim
7896383700568,1295040,AGUARD. YPIOCA GUARANA 960ML,1,Sim
7896383730374,1496203,AGUARD. YPIOCA LIMA-LIMAO 965ML,1,Sim
7896383730206,1306715,AGUARD. YPIOCA (MEIOTA) OURO 480ML,1,Sim
7896383730213,1297208,AGUARD. YPIOCA (MEIOTA) PRATA 480ML,1,Sim
7896699016896,1137624,AGUARD. YPIOCA OURO 1L,1,Sim
7896383700674,1496206,AGUARD. YPIOCA PRATA 1L,1,Sim
7896013100386,1496153,AGUA SANITARIA BRILUX 1L,1,Sim
7896013100423,1496155,AGUA SANITARIA BRILUX 2L,1,Sim
53780,1496157,AGUA SANITARIA BRILUX 3LT,1,Sim
7896013107194,785560,AGUA SANITARIA BRILUX 3LT,1,Sim
7896013100430,1496159,AGUA SANITARIA BRILUX 5LT,1,Sim
7897574107470,1489045,AGUA SANITARIA CRISTAL 1L,1,Sim
40596,1291961,AGUA SANITARIA DRAGAO 1L,1,Sim
40597,1292086,AGUA SANITARIA DRAGAO 2L,1,Sim
7896221600067,1031731,AGUA SANITARIA DRAGAO 5L**,3,Sim
7897312400603,1274484,AGUA SANITARIA FC ECON AMARELA 1L,0,Sim
7898928311178,1496165,AGUA SANITARIA ISABEL 1L,0,Sim
7898928311161,708064,AGUA SANITARIA ISABEL BRANCA 1L,0,Sim
7896013100461,751233,AGUA SANITARIA OLIMPO 1L,1,Sim
14117,1274471,AGUA SANITARIA QBOA 1L,1,Sim
178150,1496170,AGUA SANITARIA QBOA 2L,1,Sim
7399,1496172,AGUA SANITARIA QBOA 5L,1,Sim
178160,1488061,AGUA SANITARIA QBOA PERFUMADA 1L,1,Sim
7896098904626,1496174,AGUA SANITARIA YPE 1L,1,Sim
7896098904640,1496176,AGUA SANITARIA YPE 2L,1,Sim
7891224729982,1031169,ALBISTIN - NISTATINA C/16 DRG,1,Sim
7898555112025,1030378,ALCOOL 70%  PRO SAUDE 1L,0,Sim
7897070192888,1030648,ALCOOL EM GEL 70% (AFINS) 500ML,0,Sim
7897161364750,1030878,ALCOOL EM GEL 92G ASEPLYNE/PURE,1,Sim
7897312401709,1496208,ALCOOL GEL 70% ECONOMICO 450G,1,Sim
7897070193106,1489010,ALCOOL GEL 70%  KAPELLI 1LT,0,Sim
736532000000,1031092,ALCOOL GEL ANTISSEPTICO LIMPE BEM 500ML,0,Sim
53333,1496212,ALCOOL HIDRATADO ECONOMICO 70 1L,0,Sim
7897312402270,1496210,ALCOOL HIDRATADO ECONOMICO 70 1L,0,Sim
46356,1006578,ALCOOL SANTA CRUZ  1L,0,Sim
13458,1496215,ALCOOL SANTA CRUZ 500ML,0,Sim
61180,1496217,ALCOOL SANTA CRUZ 70% 1L ,0,Sim
62868,1496219,ALCOOL SANTA CRUZ 70% 500ML ,0,Sim
49359,1487785,ALCOOL SANTA CRUZ  96 1L,0,Sim
7898931325117,1496221,ALCOOL SANTA CRUZ 96 500ML,0,Sim
72900,1496223,ALCOOL SANTA CRUZ GEL 70 500ML,0,Sim
7896450000000,1197231,ALCOOL SANTA CRUZ GEL 70 500ML,0,Sim
13896,1308368,ALGODAO FLOC 20G *SPARTEX,0,Sim
7894490000000,1488899,ALGODAO FLOC 20G *SPARTEX,0,Sim
50552,1496226,ALHO Nº 06 1KG,0,Sim
505520,1488103,ALHO Nº 06 1KG,0,Sim
60406,1496228,ALHO Nº 07 1KG,0,Sim
604060,1488111,ALHO Nº 07 1KG,0,Sim
79,866452,ALHO Nº 08 1KG,0,Sim
1983,1308095,ALHO Nº 08 1KG ,0,Sim
7896041101058,426623,ALMONDEGA BORDON 420G,2,Sim
7896041101027,1496232,ALMONDEGA ODERICH 420G,0,Sim
53925,750901,ALMONDEGA ODERICH 830G ***,5,Sim
33174,1291218,ALVEJANTE BRILUX CORES 500ML***,0,Sim
7896013102601,721890,ALVEJANTE BRILUX FLORAL 1L,10,Sim
7896013102632,721892,ALVEJANTE BRILUX FRESH 1L,10,Sim
7896013101338,721901,ALVEJANTE BRILUX LAVANDA 1L,9,Sim
46921,1496239,ALVEJANTE BRILUX MULTI PERF.1L,0,Sim
22590,1487711,ALVEJANTE ECONOMICO FLORAL 1L,0,Sim
185690,1488085,ALVEJANTE ECONOMICO MULTI 2L,0,Sim
178180,1496241,ALVEJANTE QBOA FLORAL 1L ,0,Sim
178200,1496243,ALVEJANTE QBOA LAVANDA 1L,0,Sim
36163,1296800,AMACIANTE ALKINDA TOQUE DE AMOR 1L,0,Sim
36159,1287905,AMACIANTE ALKINDA TOQUE DE AMOR 500ML,1,Sim
80020,1488029,AMACIANTE DOWNY ADORAVEL 500ML,0,Sim
7500435153874,748415,AMACIANTE DOWNY AGUA FRESCA 500ML**,28,Sim
7506195143834,420084,AMACIANTE DOWNY BRISA DE VERAO 500ML,44,Sim
70311,1496249,AMACIANTE DOWNY BRISA INTENSO 500ML,0,Sim
7500440000000,1488792,AMACIANTE DOWNY BRISA SUAVE 500ML,0,Sim
78429,1496251,AMACIANTE DOWNY BRISA SUAVE 500ML,0,Sim
22767,1496253,AMACIANTE DOWNY F. PRIMAVERA 500ML,0,Sim
7506195143858,420086,AMACIANTE DOWNY LIRIOS DO CAMPO 500M,43,Sim
7500435160087,821238,AMACIANTE DOWNY MISTICO 450ML,19,Sim
65049,1496257,AMACIANTE DOWNY PAIXAO 450ML***,0,Sim
79449,1496259,AMACIANTE DOWNY SPORTS 500ML,0,Sim
7899470000000,1489137,AMACIANTE FAMY CLEAR AZUL 500ML,0,Sim
7899470400129,1496261,AMACIANTE FAMY CLEAR AZUL 500ML,0,Sim
7899470400112,1496263,AMACIANTE FAMY CLEAR ROSA 500ML,0,Sim
70218,1487912,AMACIANTE FLORES DO CAMPO LIMPA SIM 1L,0,Sim
68471,1496265,AMACIANTE JUA CONC ENC LOTUS 500ML,0,Sim
68470,1496267,AMACIANTE JUA CONC LIRIO AZUL 500ML,0,Sim
68444,1496269,AMACIANTE JUA P/TECIDO LAVANDA 2L,0,Sim
70219,1487914,AMACIANTE LIMPA SIM FLORES DO CAMPO 1L,0,Sim
602883000000,1488727,AMACIANTE LMP. SIM FLORES DO CAMPO 2LT,0,Sim
